Method,Accuracy,Macro-F1,Precision,Recall,AUROC,MCC,Rule-matching accuracy,Missing-evidence detection,ECS,LVPR,UCR,Time/case
Keyword matching,0.712,0.681,0.694,0.676,0.748,0.612,0.703,0.641,0.602,0.781,0.146,0.006 s
TF-IDF + Logistic Regression,0.781,0.742,0.756,0.738,0.821,0.695,0.746,0.688,0.651,0.803,0.121,0.011 s
DistilBERT classifier,0.842,0.811,0.824,0.806,0.887,0.773,0.801,0.736,0.719,0.842,0.093,0.038 s
FT-Transformer only,0.861,0.829,0.836,0.822,0.902,0.797,0.835,0.781,0.753,0.861,0.081,0.019 s
Rule-only prover,0.834,0.798,0.807,0.791,0.864,0.762,0.901,0.829,0.846,0.932,0.047,0.008 s
ML-only fusion model,0.914,0.889,0.897,0.884,0.948,0.871,0.907,0.858,0.872,0.891,0.074,0.046 s
EnvLex-Lite,0.936,0.921,0.928,0.917,0.966,0.904,0.942,0.904,0.914,0.967,0.028,0.052 s
